time Mon Mar 19 19:28:19 STD 2018
start x86_64 Mon Mar 19 19:32:06 STD 2018
end x86_64 Mon Mar 19 19:45:58 STD 2018
start i686 Mon Mar 19 19:45:58 STD 2018
end i686 Mon Mar 19 19:59:07 STD 2018
start x86_64 Mon Mar 19 19:59:21 STD 2018
end x86_64 Mon Mar 19 20:06:17 STD 2018
start i686 Mon Mar 19 20:06:17 STD 2018
end i686 Mon Mar 19 20:12:56 STD 2018
start x86_64 Mon Mar 19 20:13:27 STD 2018
end x86_64 Mon Mar 19 20:14:41 STD 2018
start i686 Mon Mar 19 20:14:41 STD 2018
end i686 Mon Mar 19 20:15:44 STD 2018
start x86_64 Mon Mar 19 20:15:48 STD 2018
end x86_64 Mon Mar 19 20:16:55 STD 2018
start i686 Mon Mar 19 20:16:55 STD 2018
end i686 Mon Mar 19 20:17:53 STD 2018
start x86_64 Mon Mar 19 20:18:03 STD 2018
end x86_64 Mon Mar 19 20:19:22 STD 2018
start i686 Mon Mar 19 20:19:22 STD 2018
end i686 Mon Mar 19 20:20:30 STD 2018
time Mon Mar 19 20:20:30 STD 2018
